ID,BenefitPlan,CurrentlyEnrolled,CoverageStartDate,EmployerContribution,BenefitCoverageType
6.46328E+13,mellon,FALSE,8/22/82,668,Insurance
5.90325E+14,wum,FALSE,6/9/63,705,Medical
4.97292E+14,zus,FALSE,2/3/87,660,Dental
2.7131E+14,leh,TRUE,5/26/39,699,Retirement
9.28799E+13,fesde,TRUE,1/22/80,78,Insurance
7.81084E+13,ula,TRUE,10/11/01,87,Medical
6.37608E+14,foputag,FALSE,9/24/31,434,Dental
9.79398E+14,fesofu,FALSE,9/16/69,633,Retirement
6.73626E+14,okcoz,FALSE,4/14/03,680,Other
7.25548E+14,umaelees,TRUE,6/2/52,640,Insurance
3.04755E+14,eb,TRUE,7/13/06,378,Medical
6.17401E+14,ilipak,FALSE,9/16/47,711,Dental
4.44594E+13,at,TRUE,2/2/21,249,Retirement
1.59098E+14,vojod,TRUE,1/7/93,236,Insurance
9.30552E+14,sac,FALSE,1/10/86,210,Medical
3.21611E+14,geozowu,FALSE,3/2/66,459,Dental
4.00376E+14,puafli,FALSE,3/11/30,127,Retirement
5.19156E+14,abevuf,FALSE,11/1/22,306,Other
1.53337E+14,inoravun,TRUE,4/18/04,615,Insurance
8.4629E+14,rudnipa,FALSE,5/19/38,396,Medical
6.69068E+13,gebahitu,FALSE,10/5/13,901,Dental
5.03834E+12,hod,FALSE,3/9/52,202,Retirement
5.30242E+14,poj,TRUE,2/7/59,778,Insurance
3.53916E+14,voh,TRUE,6/16/88,281,Medical
7.56356E+14,ikajekol,FALSE,12/18/46,210,Dental
1.37258E+14,igivutbo,FALSE,2/17/07,103,Retirement
8.08073E+14,lorsodav,TRUE,8/8/49,212,Other
2.26582E+14,ri,TRUE,2/17/87,479,Insurance
4.85929E+14,pewec,FALSE,12/16/02,82,Medical
7.42273E+14,wosufo,TRUE,11/25/51,490,Dental
2.36911E+14,ramwoow,TRUE,1/15/31,380,Retirement
6.39369E+13,tuk,FALSE,1/14/87,744,Insurance
3.893E+14,no,TRUE,10/23/64,409,Medical
4.65306E+14,dic,TRUE,2/16/52,963,Dental
4.60035E+14,jercoene,FALSE,9/23/21,173,Retirement
7.50731E+14,mo,TRUE,7/2/86,862,Other
6.90597E+13,cew,FALSE,11/5/80,13,Insurance
8.62523E+14,fudezvet,TRUE,10/22/22,40,Medical
9.39198E+14,in,FALSE,3/20/46,315,Dental
6.49888E+14,oj,FALSE,6/5/91,652,Retirement
2.06746E+14,wuhenfis,TRUE,1/21/79,749,Insurance
3.25772E+14,vo,TRUE,4/7/13,265,Medical
8.54064E+14,dihmecdu,FALSE,5/28/40,520,Dental
8.12355E+13,fuh,TRUE,8/2/37,109,Retirement
1.20103E+14,asookdek,TRUE,6/24/09,660,Other
3.80773E+14,gud,TRUE,5/16/62,94,Insurance
7.27091E+14,cehav,TRUE,9/2/51,684,Medical
7.21885E+13,jaca,FALSE,2/21/60,773,Dental
3.73199E+14,kino,FALSE,7/23/17,611,Retirement
1.82632E+14,gufa,FALSE,3/15/52,791,Insurance
7.57689E+14,ro,FALSE,6/16/58,856,Medical
6.22836E+14,kodawju,FALSE,2/8/14,893,Dental
1.17162E+14,as,TRUE,11/25/36,137,Retirement
1.96557E+14,talituju,TRUE,7/13/16,742,Other
6.47503E+14,samiw,TRUE,9/3/36,247,Insurance
1.35721E+14,few,TRUE,9/19/82,327,Medical
7.68958E+14,gelforob,FALSE,1/28/28,914,Dental
6.26173E+14,eju,TRUE,11/25/28,984,Retirement
4.38176E+14,up,FALSE,11/29/40,630,Insurance
6.87512E+14,puli,FALSE,7/24/02,113,Medical
1.93408E+14,zood,TRUE,6/24/98,795,Dental
8.40267E+14,mewromi,TRUE,5/19/20,403,Retirement
1.23563E+14,eki,TRUE,7/28/74,933,Other
5.00343E+13,huj,FALSE,8/25/53,101,Insurance
6.40127E+14,kosogezi,TRUE,5/5/25,304,Medical
7.6293E+14,lo,FALSE,12/24/08,487,Dental
3.80233E+14,wossocto,TRUE,4/29/69,498,Retirement
9.16777E+14,zahun,TRUE,3/19/65,710,Insurance
4.52755E+13,kaen,FALSE,9/27/65,800,Medical
5.41151E+14,hun,TRUE,9/29/61,227,Dental
5.00573E+14,gaper,FALSE,11/8/19,399,Retirement
3.81064E+14,olbobe,TRUE,1/22/84,158,Other
4.57541E+14,fopiro,FALSE,11/24/24,293,Insurance
4.93694E+14,fajefpu,TRUE,4/12/58,890,Medical
2.71255E+14,cub,FALSE,6/24/41,990,Dental
2.75796E+13,owu,TRUE,7/27/00,911,Retirement
4.51067E+14,odudpo,FALSE,3/10/60,218,Insurance
6.58066E+14,cel,TRUE,7/19/43,134,Medical
1.5467E+14,allazku,FALSE,4/11/64,684,Dental
2.54514E+13,mu,FALSE,12/2/08,65,Retirement
3.37509E+14,bucami,TRUE,1/9/52,322,Other
4.53862E+14,gela,TRUE,1/16/32,797,Insurance
8.48947E+14,tuv,FALSE,6/21/53,868,Medical
6.70203E+14,giz,FALSE,8/26/76,116,Dental
9.99297E+14,ova,TRUE,6/9/14,777,Retirement
7.37017E+14,gaoga,TRUE,10/19/07,414,Insurance
8.75071E+14,osife,TRUE,11/10/35,629,Medical
4.32934E+14,vigni,TRUE,11/7/68,480,Dental
2.58086E+14,vu,FALSE,7/13/00,319,Retirement
6.77481E+14,nozzo,FALSE,3/18/07,163,Other
8.2417E+14,vahdizwa,TRUE,8/29/42,511,Insurance
9.72582E+14,vojgaj,TRUE,4/15/52,180,Medical
4.81094E+14,ur,TRUE,4/12/85,382,Dental
9.48986E+14,cifveose,TRUE,7/18/66,343,Retirement
4.62E+13,vi,TRUE,3/12/52,140,Insurance
5.70383E+14,sesvoip,TRUE,6/19/61,82,Medical
7.58119E+14,uzi,TRUE,11/26/94,811,Dental
4.46249E+14,tefiato,FALSE,9/9/65,913,Retirement
9.74789E+14,ig,FALSE,7/12/74,439,Other
6.15239E+14,gawev,FALSE,12/9/74,540,Insurance
